SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,166 Fixie,Irvine,CA,92618,779500,3,3.5,GP - Great Park,2075,,2017,12,376,408,Active,November-28-2018 10:30 AM,November-28-2018 01:30 PM,http://www.redfin.com/CA/Irvine/166-Fixie-92618/home/146415952,CRMLS,OC18273005,N,Y,33.6903871,-117.7347071
MLS Listing,,Condo/Co-op,7205 Apricot Dr,Irvine,CA,92618,465000,2,2.0,OT - Orangetree,1000,351965,1979,32,465,441,Active,,,http://www.redfin.com/CA/Irvine/7205-Apricot-Dr-92618/unit-7205/home/5260030,CRMLS,OC18258764,N,Y,33.6704725,-117.7761276
MLS Listing,,Condo/Co-op,123 Neptune,Irvine,CA,92618,749900,3,3.0,PS - Portola Springs,2038,,2016,32,368,315,Active,,,http://www.redfin.com/CA/Irvine/123-Neptune-92618/home/143910134,CRMLS,OC18255742,N,Y,33.6994507,-117.7322163
MLS Listing,,Condo/Co-op,62 Full Moon,Irvine,CA,92618,590000,2,2.0,PS - Portola Springs,1239,,2010,39,476,324,Active,,,http://www.redfin.com/CA/Irvine/62-Full-Moon-92618/home/40102641,CRMLS,OC18254030,N,Y,33.695344,-117.7187228
MLS Listing,,Condo/Co-op,4313 Apricot Dr,Irvine,CA,92618,449999,2,2.0,OT - Orangetree,1000,,1979,52,450,441,Active,,,http://www.redfin.com/CA/Irvine/4313-Apricot-Dr-92618/unit-2206/home/146459911,CRMLS,OC18242615,N,Y,33.6698224,-117.7754367
MLS Listing,,Condo/Co-op,121 Calypso,Irvine,CA,92618,685000,2,2.5,WD - Woodbury,1439,,2009,72,476,294,Active,,,http://www.redfin.com/CA/Irvine/121-Calypso-92618/home/40103248,CRMLS,OC18225904,N,Y,33.6950042,-117.740162
MLS Listing,,Condo/Co-op,33 Silverado,Irvine,CA,92618,580000,2,2.0,PS - Portola Springs,1239,,2010,81,468,324,Active,,,http://www.redfin.com/CA/Irvine/33-Silverado-92618/home/40102648,CRMLS,OC18218577,N,Y,33.6952509,-117.7182737
MLS Listing,,Townhouse,115 Augustine,Irvine,CA,92618,881972,3,2.25,CV - Cypress Village,1884,,2018,1,468,362,Active,,,http://www.redfin.com/CA/Irvine/115-Augustine-92618/home/148350585,CRMLS,OC18279243,N,Y,33.6807189,-117.7468027
MLS Listing,,Townhouse,117 Augustine,Irvine,CA,92618,826067,3,2.25,CV - Cypress Village,1606,,2018,1,514,362,Active,,,http://www.redfin.com/CA/Irvine/117-Augustine-92618/home/148350426,CRMLS,OC18279258,N,Y,33.6807189,-117.7468027
MLS Listing,,Single Family Residential,72 Egret,Irvine,CA,92618,2253595,5,5.5,699 - Not Defined,4800,6105,2019,1,469,295,Active,,,http://www.redfin.com/CA/Irvine/72-Egret-Unknown/home/148350098,CRMLS,PW18279736,N,Y,33.6812369,-117.7025313
MLS Listing,,Condo/Co-op,34 Ridge,Irvine,CA,92618,998000,4,4.5,PS - Portola Springs,2655,3000,2007,3,376,354,Active,,,http://www.redfin.com/CA/Irvine/34-Ridge-Vly-92618/home/21937692,CRMLS,PW18277966,N,Y,33.7053682,-117.7204637
MLS Listing,,Condo/Co-op,116 Hemisphere,Irvine,CA,92618,989000,4,3.0,PS - Portola Springs,2185,,2018,5,453,232,Active,,,http://www.redfin.com/CA/Irvine/116-Hemisphere-92618/home/148203002,CRMLS,PW18278421,N,Y,33.665242,-117.7490656
MLS Listing,,Condo/Co-op,56 Scarlet Bloom,Irvine,CA,92618,575000,2,2.0,PS - Portola Springs,1024,1024,2007,5,562,239,Active,,,http://www.redfin.com/CA/Irvine/56-Scarlet-Bloom-92618/home/17472986,CRMLS,OC18278360,N,Y,33.6941499,-117.7166912
MLS Listing,,Condo/Co-op,124 Hemisphere,Irvine,CA,92618,1046000,4,3.5,PS - Portola Springs,2340,,2018,8,447,232,Active,,,http://www.redfin.com/CA/Irvine/124-Hemisphere-92618/home/113720996,CRMLS,PW18255327,N,Y,33.689809,-117.710042
MLS Listing,,Condo/Co-op,223 Carlow,Irvine,CA,92618,640990,1,1.5,699 - Not Defined,1499,1499,2018,8,428,453,Active,,,http://www.redfin.com/CA/Irvine/223-Carlow-92618/home/148158358,CRMLS,CV18276281,N,Y,33.665242,-117.7490656
MLS Listing,,Single Family Residential,621 Cultivate,Irvine,CA,92618,1022940,4,3.0,GP - Great Park,2300,2500,2018,9,445,215,Active,,,http://www.redfin.com/CA/Irvine/621-Cultivate-92618/home/148128628,CRMLS,SW18276177,N,Y,33.683667,-117.720754
MLS Listing,,Single Family Residential,164 Stage,Irvine,CA,92618,1011120,4,3.0,GP - Great Park,2300,2500,2018,9,440,215,Active,,,http://www.redfin.com/CA/Irvine/164-Stage-92618/home/148128629,CRMLS,SW18276169,N,Y,33.683667,-117.720754
MLS Listing,,Single Family Residential,156 Stage,Irvine,CA,92618,918750,3,2.5,GP - Great Park,2043,2500,2018,9,450,215,Active,,,http://www.redfin.com/CA/Irvine/156-Stage-92618/home/148128632,CRMLS,SW18276157,N,Y,33.683667,-117.720754
MLS Listing,,Condo/Co-op,104 Borrego,Irvine,CA,92618,725000,3,3.0,PS - Portola Springs,1694,,2013,9,428,353,Active,December-1-2018 01:00 PM,December-1-2018 04:00 PM,http://www.redfin.com/CA/Irvine/104-Borrego-92618/home/58555904,CRMLS,NP18274446,N,Y,33.6982071,-117.7155196
MLS Listing,,Condo/Co-op,447 Orange Blossom #213,Irvine,CA,92618,419000,1,1.0,OT - Orangetree,814,,1977,9,515,322,Active,,,http://www.redfin.com/CA/Irvine/447-Orange-Blossom-92618/unit-213/home/5479281,CRMLS,OC18275368,N,Y,33.6710277,-117.774173
MLS Listing,,Townhouse,27 Wild Trl,Irvine,CA,92618,799000,3,2.5,PS - Portola Springs,2159,,2011,10,370,164,Active,,,http://www.redfin.com/CA/Irvine/27-Wild-Trl-92618/home/146522900,CRMLS,OC18269618,N,Y,33.665242,-117.7490656
MLS Listing,,Condo/Co-op,100 Orange Blossom #98,Irvine,CA,92618,319000,1,1.0,Irvine,473,,1976,10,674,300,Active,,,http://www.redfin.com/CA/Irvine/100-Orange-Blossom-92618/unit-98/home/5459076,CRMLS,180063696,N,Y,33.6726868,-117.7732361
MLS Listing,,Condo/Co-op,99 Kestrel,Irvine,CA,92618,809000,3,3.5,PS - Portola Springs,1628,,2015,10,497,263,Active,,,http://www.redfin.com/CA/Irvine/99-Kestrel-92618/home/143914993,CRMLS,OC18275049,N,Y,33.701874,-117.7291137
MLS Listing,,Single Family Residential,26 Tesoro,Irvine,CA,92618,1880000,4,4.0,LGA - Laguna Altura,3067,4665,2013,11,613,280,Active,,,http://www.redfin.com/CA/Irvine/26-Tesoro-92618/home/45378880,CRMLS,OC18253014,N,Y,33.6416414,-117.7585256
MLS Listing,,Condo/Co-op,124 Borrego,Irvine,CA,92618,748000,3,3.0,PS - Portola Springs,1694,,2013,11,442,353,Active,,,http://www.redfin.com/CA/Irvine/124-Borrego-92618/home/58555797,CRMLS,OC18272368,N,Y,33.6981989,-117.7155579
MLS Listing,,Condo/Co-op,106 Acamar,Irvine,CA,92618,799000,3,3.5,GP - Great Park,1939,,2016,11,412,408,Active,,,http://www.redfin.com/CA/Irvine/106-Acamar-92618/home/108551837,CRMLS,OC18272586,N,Y,33.6862128,-117.7357264
MLS Listing,,Single Family Residential,69 Orchard,Irvine,CA,92618,698000,3,2.0,699 - Not Defined,1445,2739,1977,11,483,160,Active,,,http://www.redfin.com/CA/Irvine/69-Orchard-92618/home/4746132,CRMLS,AR18273399,N,Y,33.6712462,-117.7714321
MLS Listing,,Condo/Co-op,100 Walking Stick,Irvine,CA,92618,895000,3,2.5,PS - Portola Springs,1640,3500,2017,11,546,232,Active,,,http://www.redfin.com/CA/IRVINE/100-WALKING-STICK-92618/home/112724480,CRMLS,OC18274017,N,Y,33.665242,-117.7490656
MLS Listing,,Single Family Residential,168 Stage,Irvine,CA,92618,922300,4,3.5,GP - Great Park,2146,2500,2018,12,430,215,Active,,,http://www.redfin.com/CA/Irvine/168-Stage-92618/home/148123921,CRMLS,SW18273630,N,Y,33.683667,-117.720754
MLS Listing,,Single Family Residential,112 Spacial,Irvine,CA,92618,2778452,5,5.5,699 - Not Defined,5416,6300,2018,13,513,295,Active,,,http://www.redfin.com/CA/Irvine/112-Spacial-92618/home/148120824,CRMLS,PW18272611,N,Y,33.683777,-117.709147
